page	attr	old	new	reason
site_mirror\index.html	href	https://raskrutov.kz/	/	internal root-absolute
site_mirror\index.html	data-page-link	index.html	/	internal root-absolute
site_mirror\index.html	href	index.html	/	internal root-absolute
site_mirror\index.html	href	web-studiya	/web-studiya/	internal root-absolute
site_mirror\index.html	href	r-builder	/r-builder/	internal root-absolute
site_mirror\index.html	href	akademiya	/akademiya/	internal root-absolute
site_mirror\index.html	href	partneram	/partneram/	internal root-absolute
site_mirror\index.html	href	o-kompanii	/o-kompanii/	internal root-absolute
site_mirror\index.html	href	keysy	/keysy/	internal root-absolute
site_mirror\index.html	href	faq	/faq/	internal root-absolute
site_mirror\index.html	href	kontakty	/kontakty/	internal root-absolute
site_mirror\index.html	data-page-link	https://api.whatsapp.com/send?phone=77000216900	https://wa.me/77000216900	whatsapp normalize
site_mirror\index.html	data-page-link	index.html	/	internal root-absolute
site_mirror\index.html	data-page-link	index.html	/	internal root-absolute
site_mirror\index.html	data-page-link	web-studiya	/web-studiya/	internal root-absolute
site_mirror\index.html	data-page-link	r-builder	/r-builder/	internal root-absolute
site_mirror\index.html	data-page-link	akademiya	/akademiya/	internal root-absolute
site_mirror\index.html	data-page-link	partneram	/partneram/	internal root-absolute
site_mirror\index.html	data-page-link	o-kompanii	/o-kompanii/	internal root-absolute
site_mirror\index.html	data-page-link	keysy	/keysy/	internal root-absolute
site_mirror\index.html	data-page-link	faq	/faq/	internal root-absolute
site_mirror\index.html	data-page-link	kontakty	/kontakty/	internal root-absolute
site_mirror\index.html	data-page-link	https://api.whatsapp.com/send?phone=77000216900	https://wa.me/77000216900	whatsapp normalize
site_mirror\index.html	data-page-link	https://api.whatsapp.com/send?phone=77000216900	https://wa.me/77000216900	whatsapp normalize
site_mirror\index.html	data-page-link	web-studiya/sozdanie-saitov	/web-studiya/sozdanie-saitov/	internal root-absolute
site_mirror\index.html	data-page-link	web-studiya/sozdanie-saitov	/web-studiya/sozdanie-saitov/	internal root-absolute
site_mirror\index.html	data-page-link	web-studiya/aeo-geo-prodvizhenie	/web-studiya/aeo-prodvizhenie/	internal root-absolute
site_mirror\index.html	data-page-link	crm	/crm/	internal root-absolute
site_mirror\index.html	data-page-link	crm	/crm/	internal root-absolute
site_mirror\index.html	data-page-link	akademiya	/akademiya/	internal root-absolute
site_mirror\index.html	data-page-link	r-builder	/r-builder/	internal root-absolute
site_mirror\index.html	data-page-link	web-studiya	/web-studiya/	internal root-absolute
site_mirror\index.html	href	web-studiya/sozdanie-saitov/landing	/web-studiya/sozdanie-saitov/landing/	internal root-absolute
site_mirror\index.html	data-page-link	web-studiya/sozdanie-saitov/landing	/web-studiya/sozdanie-saitov/landing/	internal root-absolute
site_mirror\index.html	href	web-studiya/sozdanie-saitov/korporativnyy-sayt	/web-studiya/sozdanie-saitov/korporativnyy-sayt/	internal root-absolute
site_mirror\index.html	data-page-link	web-studiya/sozdanie-saitov/korporativnyy-sayt	/web-studiya/sozdanie-saitov/korporativnyy-sayt/	internal root-absolute
site_mirror\index.html	href	web-studiya/sozdanie-saitov/internet-magazin	/web-studiya/sozdanie-saitov/internet-magazin/	internal root-absolute
site_mirror\index.html	data-page-link	web-studiya/sozdanie-saitov/internet-magazin	/web-studiya/sozdanie-saitov/internet-magazin/	internal root-absolute
site_mirror\index.html	data-page-link	web-studiya/sozdanie-saitov	/web-studiya/sozdanie-saitov/	internal root-absolute
